"state_name","race_grp","pop_share_agg","pop_weighted"
"Alabama","White",0.711954561302753,738914.197278714
"Alabama","Black",0.23586836734938,293522.812340946
"Alabama","Asian",0.0117937546480777,15832.8190752923
"Alabama","Hispanic",0.0244680494587979,42818.634
"Alabama","Native Hawaiian or Other Pacific Islander",0.000386072131737742,429.148794038526
"Alabama","Other",0.0113717380874068,14061.8473006906
"Alabama","American Indian or Alaska Native",0.00415745702184667,4579.1102103187
"Alaska","American Indian or Alaska Native",0.131303091586964,10563.2243314082
"Alaska","Other",0.0515924086593708,4228.06284042058
"Alaska","White",0.659489974963864,51680.63299661
"Alaska","Hispanic",0.0555727642000596,4823.479339005
"Alaska","Native Hawaiian or Other Pacific Islander",0.0106209938216523,867.761680852846
"Alaska","Asian",0.0666319742975274,5215.83548019845
"Alaska","Black",0.0247887924705612,2023.8281083129
"Arizona","Other",0.013442635131101,21469.8634524888
"Arizona","American Indian or Alaska Native",0.0312023321797588,44731.5081945198
"Arizona","Hispanic",0.225401527460408,339147.612561554
"Arizona","White",0.662554616688358,873968.339379056
"Arizona","Black",0.0357788931212739,51572.6478067649
"Arizona","Asian",0.0302774665722037,43687.243703711
"Arizona","Native Hawaiian or Other Pacific Islander",0.00134252884689672,2030.61417221365
"California","Asian",0.158373055914872,1630428.7724462
"California","Hispanic",0.319076143912075,3773118.039
"California","White",0.439684834173787,4040528.37543755
"California","Other",0.0213525628322549,261970.130147882
"California","Black",0.054182920815199,566069.904267261
"California","American Indian or Alaska Native",0.0039455781520887,38533.4315370855
"California","Native Hawaiian or Other Pacific Islander",0.00338490419972363,37443.1671640198
"Colorado","Hispanic",0.160566087844693,105413.800838574
"Colorado","White",0.753080033293224,447489.187087803
"Colorado","Asian",0.0300059961337553,19338.2756554669
"Colorado","Other",0.01591613548179,10697.3782727159
"Colorado","Black",0.0339717401902084,21605.8976662866
"Colorado","American Indian or Alaska Native",0.00544502932148403,3032.03541548802
"Colorado","Native Hawaiian or Other Pacific Islander",0.00101497773484541,731.089733725591
"Connecticut","White",0.761328659586786,297299.781733341
"Connecticut","Black",0.0830307555868255,34191.5597119503
"Connecticut","Asian",0.0364819950658475,15157.4787670885
"Connecticut","Hispanic",0.106559027407208,44586.637
"Connecticut","Other",0.0107198185859374,4410.7107260977
"Connecticut","American Indian or Alaska Native",0.00173962493337163,695.992383621805
"Connecticut","Native Hawaiian or Other Pacific Islander",0.000140118834023898,60.3036779011886
"Delaware","White",0.717274175897951,133621.308600384
"Delaware","Asian",0.0336829885364641,6230.78329514151
"Delaware","Hispanic",0.0543649475511546,10070.1212121212
"Delaware","Black",0.181252186372049,33763.0002109533
"Delaware","Other",0.00976370395349271,1836.49745481253
"Delaware","American Indian or Alaska Native",0.00356385088914883,662.659956191327
"Delaware","Native Hawaiian or Other Pacific Islander",9.81467997397066e-05,19.3565431230538
"District of Columbia","Black",0.471100232529522,73603.8319237085
"District of Columbia","Hispanic",0.0878551023046461,17357.84054235
"District of Columbia","White",0.382414645232977,72424.0731022892
"District of Columbia","Other",0.0177191570860197,3880.29453207556
"District of Columbia","Asian",0.0383586920373125,7670.08124470424
"District of Columbia","American Indian or Alaska Native",0.00244814291827784,543.06258264689
"District of Columbia","Native Hawaiian or Other Pacific Islander",0.000104027891244482,32.0201888295462
"Florida","White",0.649545399020043,1424938.71203841
"Florida","Asian",0.0245224858877828,58008.930550597
"Florida","Black",0.112758343705142,268823.169069935
"Florida","Hispanic",0.201739013153074,472850.409940214
