"state_name","race_grp","state_pop"
"Maine","American Indian or Alaska Native",8182.04415082681
"Maine","Native Hawaiian or Other Pacific Islander",306.191460678365
"Maryland","White",2475953.32276884
"Maryland","Asian",309833.568950504
"Maryland","Other",103030.293521543
"Maryland","Black",1383862.92769648
"Maryland","Hispanic",435491
"Maryland","American Indian or Alaska Native",11312.1322869149
"Maryland","Native Hawaiian or Other Pacific Islander",1618.75477571893
"Massachusetts","White",4020133.74780946
"Massachusetts","Hispanic",596307
"Massachusetts","Black",369334.853946829
"Massachusetts","Other",94976.7866782904
"Massachusetts","Asian",372075.873725031
"Massachusetts","American Indian or Alaska Native",10028.0478976056
"Massachusetts","Native Hawaiian or Other Pacific Islander",2104.68994278812
"Michigan","White",6076093.70024168
"Michigan","Black",1006449.66377135
"Michigan","Hispanic",351514
"Michigan","Asian",257758.227041474
"Michigan","American Indian or Alaska Native",38467.4281979273
"Michigan","Other",151351.783200434
"Michigan","Native Hawaiian or Other Pacific Islander",1288.19754713675
"Minnesota","White",3572799.01497862
"Minnesota","American Indian or Alaska Native",35023.6184586735
"Minnesota","Other",88215.6182362474
"Minnesota","Asian",210575.866342688
"Minnesota","Hispanic",203295
"Minnesota","Black",239199.596930904
"Minnesota","Native Hawaiian or Other Pacific Islander",2049.28505286713
"Mississippi","Black",823757.258596314
"Mississippi","White",1334425.54353776
"Mississippi","Hispanic",59503
"Mississippi","Asian",22126.4488555382
"Mississippi","American Indian or Alaska Native",8241.97704270692
"Mississippi","Other",20734.5806295623
"Mississippi","Native Hawaiian or Other Pacific Islander",169.191338118147
"Missouri","White",3856533.11551638
"Missouri","Black",511347.52974783
"Missouri","Native Hawaiian or Other Pacific Islander",5852.86087247244
"Missouri","Hispanic",173647
"Missouri","Asian",104305.39561842
"Missouri","Other",80614.2219631815
"Missouri","American Indian or Alaska Native",16834.8762817121
"Montana","White",739815.389333264
"Montana","Other",18799.5452069477
"Montana","Asian",6354.17259907454
"Montana","American Indian or Alaska Native",43642.9203564244
"Montana","Hispanic",28460
"Montana","Black",3835.664910274
"Montana","Native Hawaiian or Other Pacific Islander",386.307594015334
"Nebraska","White",1189390.32189426
"Nebraska","Hispanic",138565
"Nebraska","Asian",36551.337784285
"Nebraska","Other",20620.2660248355
"Nebraska","Black",63376.9336070043
"Nebraska","American Indian or Alaska Native",9933.33277591472
"Nebraska","Native Hawaiian or Other Pacific Islander",454.80791370488
"Nevada","White",1250971.14582661
"Nevada","Asian",218302.981045788
"Nevada","Black",215776.406612358
"Nevada","Hispanic",637738
"Nevada","Other",69264.6354416418
"Nevada","American Indian or Alaska Native",21613.6199599931
"Nevada","Native Hawaiian or Other Pacific Islander",14486.2111136038
"New Hampshire","White",999865.034691543
"New Hampshire","Other",16104.8342908427
"New Hampshire","Asian",28996.0591001308
"New Hampshire","Hispanic",35504
"New Hampshire","Black",12644.2622248346
"New Hampshire","Native Hawaiian or Other Pacific Islander",975.767284149586
"New Hampshire","American Indian or Alaska Native",1139.0424084994
"New Jersey","Asian",683837.585395938
"New Jersey","White",3992173.07129363
"New Jersey","Black",867807.536649478
"New Jersey","Other",93490.6406659845
"New Jersey","Hispanic",1349772
"New Jersey","American Indian or Alaska Native",7066.49774482907
"New Jersey","Native Hawaiian or Other Pacific Islander",1881.66825014537
"New Mexico","Hispanic",758378
"New Mexico","White",659374.989943074
"New Mexico","American Indian or Alaska Native",134851.149127609
"New Mexico","Asian",28684.7106094108
"New Mexico","Other",21505.5562171926
"New Mexico","Black",30471.5964564614
"New Mexico","Native Hawaiian or Other Pacific Islander",635.997646251448
"New York","White",8803909.18505719
"New York","Asian",1365537.15142238
"New York","Hispanic",2756600
"New York","Black",2124942.47753316
"New York","Other",255469.800851695
"New York","American Indian or Alaska Native",32335.2456376845
"New York","Native Hawaiian or Other Pacific Islander",2013.13949789288
"North Carolina","White",5366735.01707095
"North Carolina","Hispanic",654602
"North Carolina","Black",1684794.0694293
"North Carolina","Asian",237218.818758885
"North Carolina","American Indian or Alaska Native",89623.4765859502
"North Carolina","Other",141821.391058825
"North Carolina","Native Hawaiian or Other Pacific Islander",4071.22709609884
"North Dakota","White",496844.254224391
"North Dakota","Other",9933.43168621272
"North Dakota","American Indian or Alaska Native",25583.8597060397
"North Dakota","Hispanic",20061
"North Dakota","Black",14041.417843736
"North Dakota","Asian",9946.92123553105
"North Dakota","Native Hawaiian or Other Pacific Islander",1499.11530408978
"Ohio","White",7340625.59714468
"Ohio","Hispanic",311304
"Ohio","Other",161227.961759059
"Ohio","Asian",212788.511535921
"Ohio","Black",1051085.70438697
"Ohio","American Indian or Alaska Native",13584.9001853914
"Ohio","Native Hawaiian or Other Pacific Islander",2955.32498798117
"Oklahoma","White",2058066.60275641
"Oklahoma","Other",171290.569202604
"Oklahoma","Black",203296.527374237
"Oklahoma","American Indian or Alaska Native",222156.818089672
"Oklahoma","Hispanic",274803
"Oklahoma","Asian",66262.0582539337
"Oklahoma","Native Hawaiian or Other Pacific Islander",4114.42432314292
"Oregon","White",2616592.8157667
"Oregon","Hispanic",381822
"Oregon","Black",57895.2013406802
"Oregon","Other",105044.114408236
"Oregon","Asian",161761.229966899
"Oregon","American Indian or Alaska Native",31444.3955297776
"Oregon","Native Hawaiian or Other Pacific Islander",9008.24298770385
"Pennsylvania","White",7891380.99813915
"Pennsylvania","Black",987617.314503296
"Pennsylvania","Hispanic",659620
"Pennsylvania","Asian",357736.531914804
"Pennsylvania","Other",146665.672317058
"Pennsylvania","American Indian or Alaska Native",11796.4974642379
"Pennsylvania","Native Hawaiian or Other Pacific Islander",1661.98566144961
"Rhode Island","White",625241.65080675
"Rhode Island","Black",47316.3234859394
"Rhode Island","Hispanic",120533
"Rhode Island","Asian",30101.9894181341
"Rhode Island","American Indian or Alaska Native",1993.69583586514
"Rhode Island","Other",15470.9595215983
"Rhode Island","Native Hawaiian or Other Pacific Islander",184.380931713135
"South Carolina","White",2666241.43669306
"South Carolina","Black",1030325.38867933
"South Carolina","Hispanic",193771
"South Carolina","Other",51771.1198881568
"South Carolina","Asian",66073.8674134183
"South Carolina","American Indian or Alaska Native",12980.6736130854
"South Carolina","Native Hawaiian or Other Pacific Islander",5523.51371295471
"South Dakota","White",559123.390996473
"South Dakota","American Indian or Alaska Native",43700.3125765736
"South Dakota","Asian",8946.78443963711
"South Dakota","Other",10635.2592990715
"South Dakota","Hispanic",21495
"South Dakota","Black",13704.1511072403
"South Dakota","Native Hawaiian or Other Pacific Islander",524.10158100401
"Tennessee","White",4048078.94300021
"Tennessee","Hispanic",246660
"Tennessee","Black",847910.763201325
"Tennessee","Other",70601.5420207332
"Tennessee","Asian",98849.0664749496
"Tennessee","American Indian or Alaska Native",13900.7463362817
"Tennessee","Native Hawaiian or Other Pacific Islander",1834.93896649816
"Texas","Asian",1137725.59947209
"Texas","White",9659883.73560765
"Texas","Hispanic",8089217
"Texas","Black",2556302.92765219
"Texas","Other",302131.629616313
"Texas","Native Hawaiian or Other Pacific Islander",16204.1098414916
"Texas","American Indian or Alaska Native",67987.9978102684
"Utah","White",1851853.87006503
"Utah","Asian",62831.5431324186
"Utah","Other",46079.2544661157
"Utah","American Indian or Alaska Native",23832.1764195917
"Utah","Hispanic",304196
"Utah","Black",21331.1517553781
"Utah","Native Hawaiian or Other Pacific Islander",18328.0041614624
"Vermont","White",467596.338400658
"Vermont","Asian",8568.20679387219
"Vermont","Other",8312.57653880813
"Vermont","Hispanic",8134
"Vermont","Black",5098.81048466089
"Vermont","American Indian or Alaska Native",3731.96356227716
"Vermont","Native Hawaiian or Other Pacific Islander",140.104219723387
"Virginia","Black",1234093.93931183
"Virginia","White",4224141.00586273
"Virginia","Asian",459572.411414321
"Virginia","Other",139147.730355357
"Virginia","Hispanic",566092
"Virginia","American Indian or Alaska Native",11524.4476080089
"Virginia","Native Hawaiian or Other Pacific Islander",3562.4654477518
"Washington","White",4218993.31024048
"Washington","Hispanic",654442
"Washington","Black",220311.658623795
"Washington","Other",226136.577978753
"Washington","Asian",559523.415588061
"Washington","Native Hawaiian or Other Pacific Islander",36600.0483911014
"Washington","American Indian or Alaska Native",65101.989177814
"West Virginia","White",1333938.22424271
"West Virginia","Black",46753.9033965254
"West Virginia","Hispanic",17379
"West Virginia","Other",15370.2511556518
"West Virginia","Asian",12171.5179624222
"West Virginia","American Indian or Alaska Native",3431.07633323966
"West Virginia","Native Hawaiian or Other Pacific Islander",50.0269094510065
"Wisconsin","White",3821419.25745241
"Wisconsin","Hispanic",268896
"Wisconsin","Black",256172.986797288
"Wisconsin","American Indian or Alaska Native",29922.3095597237
"Wisconsin","Asian",127192.990280254
"Wisconsin","Other",54150.1753459059
"Wisconsin","Native Hawaiian or Other Pacific Islander",3053.28056441618
"Wyoming","American Indian or Alaska Native",8607.08111944359
"Wyoming","White",382153.580575335
"Wyoming","Hispanic",39282
"Wyoming","Asian",3330.84653781552
"Wyoming","Other",6692.94773012231
"Wyoming","Black",3944.31104066618
"Wyoming","Native Hawaiian or Other Pacific Islander",532.232996617066
