"state_name","race_grp","value_adj"
"Minnesota","American Indian or Alaska Native",0.00701402805611222
"Minnesota","Asian",0.0330661322645291
"Minnesota","Black",0.0360721442885771
"Minnesota","Hispanic",0.0200400801603206
"Minnesota","Native Hawaiian or Other Pacific Islander",
"Minnesota","Other",
"Minnesota","White",0.903807615230461
"Mississippi","American Indian or Alaska Native",0.00143538695889798
"Mississippi","Asian",0.0175975825104872
"Mississippi","Black",0.34196566769591
"Mississippi","Hispanic",0.0175574695294606
"Mississippi","Native Hawaiian or Other Pacific Islander",
"Mississippi","Other",
"Mississippi","White",0.620662809883564
"Missouri","American Indian or Alaska Native",0.00140182913345557
"Missouri","Asian",0.0211210132313672
"Missouri","Black",0.072737529299683
"Missouri","Hispanic",0.0523194048831648
"Missouri","Native Hawaiian or Other Pacific Islander",0.00244714496025632
"Missouri","Other",
"Missouri","White",0.849973078492073
"Montana","American Indian or Alaska Native",
"Montana","Asian",
"Montana","Black",
"Montana","Hispanic",
"Montana","Native Hawaiian or Other Pacific Islander",
"Montana","Other",
"Montana","White",
"Nebraska","American Indian or Alaska Native",0.00384372311121207
"Nebraska","Asian",0.0228485039874899
"Nebraska","Black",0.0298477524729374
"Nebraska","Hispanic",0.056902439075652
"Nebraska","Native Hawaiian or Other Pacific Islander",0.000892221709697459
"Nebraska","Other",
"Nebraska","White",0.885665359643011
"Nevada","American Indian or Alaska Native",0.00708382526564345
"Nevada","Asian",0.134592680047226
"Nevada","Black",0.0649350649350649
"Nevada","Hispanic",0.208972845336482
"Nevada","Native Hawaiian or Other Pacific Islander",
"Nevada","Other",
"Nevada","White",0.584415584415584
"New Hampshire","American Indian or Alaska Native",
"New Hampshire","Asian",
"New Hampshire","Black",
"New Hampshire","Hispanic",
"New Hampshire","Native Hawaiian or Other Pacific Islander",
"New Hampshire","Other",
"New Hampshire","White",
"New Jersey","American Indian or Alaska Native",
"New Jersey","Asian",0.1
"New Jersey","Black",0.0625
"New Jersey","Hispanic",0.1
"New Jersey","Native Hawaiian or Other Pacific Islander",
"New Jersey","Other",
"New Jersey","White",0.7375
"New Mexico","American Indian or Alaska Native",0.0983967100396865
"New Mexico","Asian",0.0243913338955923
"New Mexico","Black",0.0152160952493816
"New Mexico","Hispanic",0.394836984628517
"New Mexico","Native Hawaiian or Other Pacific Islander",
"New Mexico","Other",
"New Mexico","White",0.467158876186822
"New York","American Indian or Alaska Native",
"New York","Asian",0.118592285527967
"New York","Black",0.0908827854793123
"New York","Hispanic",0.127
"New York","Native Hawaiian or Other Pacific Islander",
"New York","Other",
"New York","White",0.66352492899272
"North Carolina","American Indian or Alaska Native",0.00785129259508118
"North Carolina","Asian",0.0349816044376422
"North Carolina","Black",0.179949209324797
"North Carolina","Hispanic",0.0515995872033024
"North Carolina","Native Hawaiian or Other Pacific Islander",
"North Carolina","Other",
"North Carolina","White",0.725618306439178
"North Dakota","American Indian or Alaska Native",
"North Dakota","Asian",
"North Dakota","Black",
"North Dakota","Hispanic",
"North Dakota","Native Hawaiian or Other Pacific Islander",
"North Dakota","Other",
"North Dakota","White",
"Ohio","American Indian or Alaska Native",0.00164427379135936
"Ohio","Asian",0.0243093752747321
"Ohio","Black",0.0752056447713147
"Ohio","Hispanic",0.0233017971295016
"Ohio","Native Hawaiian or Other Pacific Islander",0.000602509055765655
"Ohio","Other",
"Ohio","White",0.874936399977327
"Oklahoma","American Indian or Alaska Native",0.0628420440309901
"Oklahoma","Asian",0.0420778971478118
"Oklahoma","Black",0.0597332467701066
"Oklahoma","Hispanic",0.075090135498476
"Oklahoma","Native Hawaiian or Other Pacific Islander",
"Oklahoma","Other",
"Oklahoma","White",0.760256676552616
"Oregon","American Indian or Alaska Native",0.0238095238095238
"Oregon","Asian",0.0476190476190476
"Oregon","Black",0.0119047619047619
"Oregon","Hispanic",0.0595238095238095
"Oregon","Native Hawaiian or Other Pacific Islander",0.0119047619047619
"Oregon","Other",
"Oregon","White",0.845238095238095
"Pennsylvania","American Indian or Alaska Native",0.000154024039407531
"Pennsylvania","Asian",0.0139688202725249
"Pennsylvania","Black",0.0666535993055499
"Pennsylvania","Hispanic",0.0387741156773319
"Pennsylvania","Native Hawaiian or Other Pacific Islander",0.00136186204079138
"Pennsylvania","Other",
"Pennsylvania","White",0.879087578664394
"Rhode Island","American Indian or Alaska Native",0.00316901408450704
"Rhode Island","Asian",0.0210093896713615
"Rhode Island","Black",0.0352112676056338
"Rhode Island","Hispanic",0.0938967136150235
"Rhode Island","Native Hawaiian or Other Pacific Islander",0.00164319248826291
"Rhode Island","Other",
"Rhode Island","White",0.845070422535211
"South Carolina","American Indian or Alaska Native",
"South Carolina","Asian",0.0166157211171443
"South Carolina","Black",0.202244263500852
"South Carolina","Hispanic",0.030236171541678
"South Carolina","Native Hawaiian or Other Pacific Islander",
"South Carolina","Other",
"South Carolina","White",0.750903843840325
"South Dakota","American Indian or Alaska Native",0.0156599552572707
"South Dakota","Asian",0.00223713646532438
"South Dakota","Black",0.00671140939597315
"South Dakota","Hispanic",0.00223713646532438
"South Dakota","Native Hawaiian or Other Pacific Islander",
"South Dakota","Other",
"South Dakota","White",0.973154362416107
"Tennessee","American Indian or Alaska Native",
"Tennessee","Asian",0.018789422762349
"Tennessee","Black",0.118119413718629
"Tennessee","Hispanic",0.0308741905642923
"Tennessee","Native Hawaiian or Other Pacific Islander",
"Tennessee","Other",
"Tennessee","White",0.832216972954729
"Texas","American Indian or Alaska Native",
"Texas","Asian",0.080918184149782
"Texas","Black",0.0870736086175943
"Texas","Hispanic",0.308027699410105
"Texas","Native Hawaiian or Other Pacific Islander",
"Texas","Other",
"Texas","White",0.523980507822519
"Utah","American Indian or Alaska Native",0.0112485939257593
"Utah","Asian",0.0281214848143982
"Utah","Black",0.0078740157480315
"Utah","Hispanic",0.0719910011248594
"Utah","Native Hawaiian or Other Pacific Islander",0.00674915635545557
"Utah","Other",
"Utah","White",0.874015748031496
"Vermont","American Indian or Alaska Native",0.000915439883593952
"Vermont","Asian",0.0118404166775751
"Vermont","Black",0.00661089996794562
"Vermont","Hispanic",
"Vermont","Native Hawaiian or Other Pacific Islander",4.93739173727372e-05
"Vermont","Other",
"Vermont","White",0.980583869553513
"Virginia","American Indian or Alaska Native",0.0053248136315229
"Virginia","Asian",0.0468583599574015
"Virginia","Black",0.150159744408946
"Virginia","Hispanic",0.0788072417465389
"Virginia","Native Hawaiian or Other Pacific Islander",
"Virginia","Other",
"Virginia","White",0.718849840255591
"Washington","American Indian or Alaska Native",0.0224719101123595
"Washington","Asian",0.101123595505618
"Washington","Black",0.0337078651685393
"Washington","Hispanic",0.0786516853932584
"Washington","Native Hawaiian or Other Pacific Islander",0.0112359550561798
"Washington","Other",
"Washington","White",0.752808988764045
"West Virginia","American Indian or Alaska Native",
"West Virginia","Asian",
"West Virginia","Black",0.0252365930599369
"West Virginia","Hispanic",
"West Virginia","Native Hawaiian or Other Pacific Islander",
"West Virginia","Other",
"West Virginia","White",0.974763406940063
"Wisconsin","American Indian or Alaska Native",0.00891427062790186
"Wisconsin","Asian",0.0220844697233737
"Wisconsin","Black",0.0317029074571853
"Wisconsin","Hispanic",0.0337106109324759
"Wisconsin","Native Hawaiian or Other Pacific Islander",
"Wisconsin","Other",
"Wisconsin","White",0.903587741259063
"Wyoming","American Indian or Alaska Native",
"Wyoming","Asian",
"Wyoming","Black",
"Wyoming","Hispanic",
"Wyoming","Native Hawaiian or Other Pacific Islander",
"Wyoming","Other",
"Wyoming","White",
